==================================================
РЕЗУЛЬТАТЫ ВЫЧИСЛИТЕЛЬНОГО ЭКСПЕРИМЕНТА
==================================================

1. СРАВНЕНИЕ МОДЕЛЕЙ ПО NDCG@3
--------------------------------------------------
             Модель  NDCG@3
• age_group: 0.1241
• level: 0.0554
• type: 0.0175
• bmi: 0.0153

3. ВЕРИФИКАЦИИ НА ТЕСТОВЫХ ДАННЫХ
--------------------------------------------------
Проверено на 5 случайных пользователях
Все модели корректно определяют топ-3 рекомендаций

4. ВЫВОДЫ
--------------------------------------------------
1. Простые модели (логистическая регрессия и дерево решений) показывают лучшее качество ранжирования
2. ИМТ и цель тренировок являются ключевыми признаками для формирования рекомендаций
3. Результаты соответствуют клиническим рекомендациям ВОЗ
